Unnamed: 0.1,Unnamed: 0,Doc_ID,Javis_DB_ID,Variation,Template_ID
3744,3744,20233195243165824.XLS,1023,1023_2,1164
1181,1181,202261544444139.XLSX,1023,1023_2,1164
479,479,202232644044134960.XLSX,1023,1023_2,1164
137,137,202282465657760312.XLS,1023,1023_2,1164
476,476,202251111103600221.XLS,1023,1023_2,1164
64,64,20225211175575343.XLSX,1023,1023_2,1164
660,660,202302004048719131.XLS,1023,1023_2,1164
1223,1223,20226154628369157.XLSX,1023,1023_2,1164
633,633,20226205582380456.XLSX,1023,1023_2,1164
1236,1236,202262055219377395.XLSX,1023,1023_2,1164
160,160,202302121822827700.XLS,1023,1023_2,1164
1652,1652,2022670935838148.XLSX,1023,1023_2,1164
1524,1524,20226402747412112.XLSX,1023,1023_2,1164
683,683,20221120446637722.XLS,1023,1023_2,1164
581,581,202210614953504386.XLS,1023,1023_2,1164
714,714,202302795248843994.XLS,1023,1023_2,1164
716,716,202242012256978803.XLSX,1023,1023_2,1164
406,406,202210211109963324.XLS,1023,1023_2,1164
520,520,2022101015847873822.XLS,1023,1023_2,1164
1621,1621,20223264404449959.XLSX,1023,1023_2,1164
2104,2104,202312312534230151.XLS,1023,1023_2,1164
580,580,202291810485836376.XLS,1023,1023_2,1164
579,579,2023016105622548963.XLS,1023,1023_2,1164
2112,2112,202343103457789322.XLS,1023,1023_2,1164
2111,2111,20234185502299269.XLS,1023,1023_2,1164
2110,2110,20232297039530748.XLS,1023,1023_2,1164
563,563,20223230408980221.XLS,1023,1023_2,1164
2109,2109,20234154427197655.XLS,1023,1023_2,1164
2108,2108,202312110372363540.XLSX,1023,1023_2,1164
2107,2107,202322710557534362.XLS,1023,1023_2,1164
1433,1433,2022102165243296645.XLS,1023,1023_2,1164
1607,1607,202232944854127485.XLSX,1023,1023_2,1164
2106,2106,20230503237507370.XLS,1023,1023_2,1164
2105,2105,2023113103951813845.XLSX,1023,1023_2,1164
1551,1551,2022670949204155.XLSX,1023,1023_2,1164
627,627,2022745535622481.XLS,1023,1023_2,1164
1094,1094,2022640263996101.XLSX,1023,1023_2,1164
1617,1617,20226205552525428.XLSX,1023,1023_2,1164
173,173,2022112802513717916.XLS,1023,1023_2,1164
720,720,2022111532119756685.XLS,1023,1023_2,1164
1590,1590,20226402523618092.XLSX,1023,1023_2,1164
1476,1476,20226191018208369.XLSX,1023,1023_2,1164
287,287,202210852125907278.XLS,1023,1023_2,1164
1351,1351,20226402633860108.XLSX,1023,1023_2,1164
1707,1707,202281183957542458.XLS,1023,1023_2,1164
806,806,2022323114220187622.XLSX,1023,1023_2,1164
740,740,202243145218755451.XLS,1023,1023_2,1164
275,275,202321315918667603.XLS,1023,1023_2,1164
211,211,202291704446349354.XLS,1023,1023_2,1164
799,799,20228203293226568.XLS,1023,1023_2,1164
1318,1318,202232644252458985.XLSX,1023,1023_2,1164
922,922,202262055122279389.XLSX,1023,1023_2,1164
782,782,202302701310859972.XLS,1023,1023_2,1164
940,940,202262055913323460.XLSX,1023,1023_2,1164
1953,1953,20233195243165824.XLS,1023,1023_2,1164
763,763,20226402523694093.XLSX,1023,1023_2,1164
1357,1357,202261904138651309.XLSX,1023,1023_2,1164
5,5,2022919500962368.XLS,1023,1023_2,1164
996,996,202232263545972841.XLS,1023,1023_2,1164
1000,1000,2022654044398547.XLSX,1023,1023_2,1164
341,341,202282803129493705.XLS,1023,1023_2,1164
266,266,20226120759108800.XLS,1023,1023_2,1164
1007,1007,202297405670911.XLS,1023,1023_2,1164
265,265,202242034527492354.XLS,1023,1023_2,1164
1308,1308,2022640262143105.XLSX,1023,1023_2,1164
222,222,20225135249528705.XLS,1023,1023_2,1164
751,751,202272694911193719.XLSX,1023,1023_2,1164
1946,1946,2022815221267592.XLS,1023,1023_2,1166
1958,1958,2022319182828482.XLS,1023,1023_2,1166
1151,1151,202331010921612559.XLS,1023,1023_2,1166
571,571,202210402413435421.XLS,1023,1023_2,1166
283,283,202305031041337.XLS,1023,1023_2,1166
2113,2113,20234255158492714.XLS,1023,1023_2,1166
1911,1911,202282072440863748.XLS,1105,1105_2,1166
1144,1144,202272925458717529.XLSX,1023,,1166
273,273,20232317839344120.XLS,1023,1023_2,1166
213,213,202232271735101954.XLS,1105,1105_2,1166
578,578,2022112214812811655.XLS,1023,1023_2,1166
2008,2008,202272925511370549.XLSX,1023,1023_2,1166
2087,2087,202272925510971548.XLSX,1023,1023_2,1166
2093,2093,20225210366298015.XLSX,1023,1023_2,1166
1503,1503,202302501423340216.XLS,1105,1105_2,1166
184,184,2023222035357657.XLS,1023,1023_2,1166
